#warehouse,container,rack,tray,x,y,UV period,height (in),weight (g),operator,GCMS,
0,0,0,0,0,1,10.67,5,37,tim savas,,
0,0,0,0,0,3,10.67,4,30,tim savas,,
0,0,0,0,0,5,10.67,4,30,tim savas,,
0,0,0,0,1,0,10.67,5,28,tim savas,,
0,0,0,0,1,2,10.67,3.5,32,tim savas,,
0,0,0,0,1,4,10.67,3.5,35,tim savas,,
0,0,0,0,2,1,10.67,6,44,tim savas,,
0,0,0,0,2,3,10.67,3.5,29,tim savas,,
0,0,0,0,2,5,10.67,6,31,tim savas,,
0,0,0,0,3,0,10.67,5,36,tim savas,,
0,0,0,0,3,2,10.67,4,39,tim savas,,
0,0,0,0,4,1,10.67,4.5,35,tim savas,,
0,0,0,0,4,3,10.67,3.5,26,tim savas,,
0,0,0,0,4,5,10.67,7,42,tim savas,,
0,0,0,0,5,0,10.67,4,25,tim savas,,
0,0,0,0,5,4,10.67,5.5,47,tim savas,,
0,0,0,0,6,1,10.67,4,33,tim savas,,
0,0,0,0,6,3,10.67,4,37,tim savas,,
0,0,0,0,6,5,10.67,4,23,tim savas,,
0,0,0,0,7,0,10.67,4,26,tim savas,,
0,0,0,0,7,2,10.67,4,27,tim savas,,
0,0,0,0,7,4,10.67,4.5,35,tim savas,,
0,0,0,0,8,3,10.67,3.5,40,tim savas,,
0,0,0,0,8,5,10.67,4.5,33,tim savas,,
0,0,0,0,9,0,10.67,5.5,26,tim savas,,
0,0,0,0,9,2,10.67,5,43,tim savas,,
0,0,0,0,9,4,10.67,5,35,tim savas,,
0,0,0,0,10,5,10.67,5,33,tim savas,,
0,0,0,0,11,0,10.67,4,23,tim savas,,
0,0,0,0,11,2,10.67,5.5,39,tim savas,,
0,0,0,1,0,1,17.45,4.5,28,tim savas,,
0,0,0,1,0,3,17.45,3.5,26,tim savas,,
0,0,0,1,0,5,17.45,4,23,tim savas,,
0,0,0,1,1,0,17.45,4,26,tim savas,,
0,0,0,1,1,2,17.45,4,40,tim savas,,
0,0,0,1,1,4,17.45,4.5,23,tim savas,,
0,0,0,1,2,1,17.45,4,29,tim savas,,
0,0,0,1,2,3,17.45,4,37,tim savas,,
0,0,0,1,2,5,17.45,4,27,tim savas,,
0,0,0,1,3,0,17.45,3.5,30,tim savas,,
0,0,0,1,3,2,17.45,4.5,44,tim savas,,
0,0,0,1,3,4,17.45,5,39,tim savas,,
0,0,0,1,4,1,17.45,3.5,25,tim savas,,
0,0,0,1,4,3,17.45,4.5,32,tim savas,,
0,0,0,1,4,5,17.45,3.5,24,tim savas,,
0,0,0,1,5,0,17.45,5.5,35,tim savas,,
0,0,0,1,5,2,17.45,4.5,34,tim savas,,
0,0,0,1,5,4,17.45,5.5,51,tim savas,,
0,0,0,1,6,1,17.45,6,56,tim savas,,
0,0,0,1,6,3,17.45,5,38,tim savas,,
0,0,0,1,6,5,17.45,6,36,tim savas,,
0,0,0,1,7,0,17.45,5.5,31,tim savas,,
0,0,0,1,7,2,17.45,4.5,42,tim savas,,
0,0,0,1,7,4,17.45,6.5,40,tim savas,,
0,0,0,1,8,1,17.45,5,39,tim savas,,
0,0,0,1,8,3,17.45,4.5,35,tim savas,,
0,0,0,1,8,5,17.45,7,44,tim savas,,
0,0,0,1,9,0,17.45,4.5,38,tim savas,,
0,0,0,1,9,2,17.45,5.5,53,tim savas,,
0,0,0,1,9,4,17.45,6.5,64,tim savas,,
0,0,0,1,10,1,17.45,3.5,34,tim savas,,
0,0,0,1,10,3,17.45,6,50,tim savas,,
0,0,0,1,10,5,17.45,6,31,tim savas,,
0,0,0,1,11,0,17.45,6,36,tim savas,,
0,0,0,1,11,2,17.45,5.5,38,tim savas,,
0,0,0,1,11,4,17.45,5,44,tim savas,,
0,0,0,2,0,1,0,7,43,tim savas,,
0,0,0,2,0,3,0,5.5,54,tim savas,,
0,0,0,2,0,5,0,6,33,tim savas,,
0,0,0,2,1,0,0,4.5,31,tim savas,,
0,0,0,2,1,2,0,6,55,tim savas,,
0,0,0,2,1,4,0,6.5,55,tim savas,,
0,0,0,2,2,1,0,7,39,tim savas,,
0,0,0,2,2,3,0,6,47,tim savas,,
0,0,0,2,3,0,0,5.5,40,tim savas,,
0,0,0,2,3,2,0,6,43,tim savas,,
0,0,0,2,3,4,0,6,50,tim savas,,
0,0,0,2,4,1,0,4,32,tim savas,,
0,0,0,2,4,5,0,6.5,46,tim savas,,
0,0,0,2,5,0,0,8,36,tim savas,,
0,0,0,2,5,2,0,7,38,tim savas,,
0,0,0,2,5,4,0,5,46,tim savas,,
0,0,0,2,6,1,0,7,38,tim savas,,
0,0,0,2,6,5,0,4,24,tim savas,,
0,0,0,2,7,0,0,5,34,tim savas,,
0,0,0,2,7,2,0,5.5,47,tim savas,,
0,0,0,2,7,4,0,6,41,tim savas,,
0,0,0,2,8,3,0,5.5,43,tim savas,,
0,0,0,2,8,5,0,5.5,38,tim savas,,
0,0,0,2,9,0,0,4,22,tim savas,,
0,0,0,2,9,2,0,7.5,82,tim savas,,
0,0,0,2,9,4,0,6,52,tim savas,,
0,0,0,2,10,1,0,6,34,tim savas,,
0,0,0,2,10,3,0,5,44,tim savas,,
0,0,0,2,10,5,0,5,44,tim savas,,
0,0,0,2,11,2,0,5,44,tim savas,,
0,0,0,2,11,4,0,6,44,tim savas,,
0,0,1,0,0,1,8.48,5,37,tim savas,,
0,0,1,0,0,3,8.48,3,28,tim savas,,
0,0,1,0,0,5,8.48,3.5,16,tim savas,,
0,0,1,0,1,0,8.48,4,42,tim savas,,
0,0,1,0,1,2,8.48,4,29,tim savas,,
0,0,1,0,1,4,8.48,5,41,tim savas,,
0,0,1,0,2,1,8.48,3,21,tim savas,,
0,0,1,0,2,3,8.48,5.5,40,tim savas,,
0,0,1,0,2,5,8.48,5,21,tim savas,,
0,0,1,0,3,0,8.48,4.5,27,tim savas,,
0,0,1,0,3,2,8.48,6,58,tim savas,,
0,0,1,0,3,4,8.48,6,44,tim savas,,
0,0,1,0,4,1,8.48,9,90,tim savas,,
0,0,1,0,4,3,8.48,5.5,42,tim savas,,
0,0,1,0,5,0,8.48,4,21,tim savas,,
0,0,1,0,5,2,8.48,4,22,tim savas,,
0,0,1,0,5,4,8.48,5,37,tim savas,,
0,0,1,0,6,1,8.48,7.5,80,tim savas,0.38,
0,0,1,0,6,5,8.48,4,33,tim savas,,
0,0,1,0,7,0,8.48,5.5,31,tim savas,,
0,0,1,0,7,2,8.48,6,30,tim savas,,
0,0,1,0,7,4,8.48,6.5,33,tim savas,,
0,0,1,0,8,1,8.48,4.5,42,tim savas,,
0,0,1,0,8,3,8.48,7,49,tim savas,,
0,0,1,0,8,5,8.48,8.5,44,tim savas,,
0,0,1,0,9,0,8.48,4.5,37,tim savas,,
0,0,1,0,9,4,8.48,7,42,tim savas,saved,
0,0,1,0,10,1,8.48,3.5,28,tim savas,,
0,0,1,0,10,3,8.48,4,43,tim savas,,
0,0,1,0,10,5,8.48,6.5,47,tim savas,,
0,0,1,0,11,0,8.48,4,29,tim savas,,
0,0,1,0,11,2,8.48,3,24,tim savas,,
0,0,1,0,11,4,8.48,4.5,28,tim savas,,
0,0,1,1,0,1,24,6,61,tim savas,,
0,0,1,1,0,3,24,6.5,40,tim savas,,
0,0,1,1,0,5,24,7.5,59,tim savas,,
0,0,1,1,1,1,24,6,33,tim savas,,
0,0,1,1,1,3,24,5.5,48,tim savas,,
0,0,1,1,1,5,24,6,53,tim savas,,
0,0,1,1,2,1,24,8,103,tim savas,,0.3
0,0,1,1,2,3,24,8.5,137,tim savas,,0.4
0,0,1,1,2,5,24,7,44,tim savas,,
0,0,1,1,3,0,24,5,39,tim savas,,
0,0,1,1,3,2,24,5,43,tim savas,,
0,0,1,1,3,4,24,5.5,41,tim savas,,
0,0,1,1,4,1,24,5,50,tim savas,,
0,0,1,1,4,3,24,8,65,tim savas,,
0,0,1,1,4,5,24,6.5,38,tim savas,,
0,0,1,1,5,0,24,6,34,tim savas,,
0,0,1,1,5,2,24,7,60,tim savas,,
0,0,1,1,5,4,24,6.5,47,tim savas,,
0,0,1,1,6,1,24,6.5,82,tim savas,,0.37
0,0,1,1,6,3,24,9,104,tim savas,,
0,0,1,1,6,5,24,9,93,tim savas,,0.31
0,0,1,1,7,0,24,5,34,tim savas,,
0,0,1,1,7,2,24,4,27,tim savas,,
0,0,1,1,7,4,24,6.5,49,tim savas,,
0,0,1,1,8,1,24,5,32,tim savas,,
0,0,1,1,8,3,24,6,60,tim savas,,
0,0,1,1,8,5,24,6,38,tim savas,,
0,0,1,1,9,0,24,6.5,40,tim savas,,
0,0,1,1,9,2,24,8,53,tim savas,,
0,0,1,1,9,4,24,8,50,tim savas,,
0,0,1,1,10,3,24,7,46,tim savas,,
0,0,1,1,10,5,24,7,93,tim savas,0.32,
0,0,1,1,11,0,24,4.5,18,tim savas,,
0,0,1,1,11,2,24,8,53,tim savas,,
0,0,1,1,11,4,24,6,37,tim savas,,
0,0,1,2,0,1,0,4,45,tim savas,,
0,0,1,2,0,3,0,7,56,tim savas,,
0,0,1,2,0,5,0,6.5,40,tim savas,,
0,0,1,2,1,0,0,8.5,55,tim savas,,
0,0,1,2,1,2,0,6,62,tim savas,,
0,0,1,2,1,4,0,7,64,tim savas,,
0,0,1,2,2,3,0,5.5,48,tim savas,,
0,0,1,2,3,0,0,7,41,tim savas,,
0,0,1,2,3,2,0,6.5,38,tim savas,,
0,0,1,2,3,4,0,6.5,54,tim savas,,
0,0,1,2,4,1,0,5,50,tim savas,,
0,0,1,2,4,3,0,6.5,55,tim savas,,
0,0,1,2,4,5,0,6.5,45,tim savas,,
0,0,1,2,5,0,0,6,39,tim savas,,
0,0,1,2,5,2,0,6.5,59,tim savas,,
0,0,1,2,5,4,0,6,49,tim savas,,
0,0,1,2,6,3,0,7.5,66,tim savas,,
0,0,1,2,7,0,0,6,27,tim savas,,
0,0,1,2,7,2,0,7.5,54,tim savas,,
0,0,1,2,7,4,0,7,59,tim savas,,
0,0,1,2,9,0,0,7,32,tim savas,,
0,0,1,2,9,2,0,7,43,tim savas,,
0,0,1,2,9,4,0,7,53,tim savas,,
0,0,1,2,10,1,0,6,47,tim savas,,
0,0,1,2,10,3,0,8,60,tim savas,,
0,0,1,2,10,5,0,8,73,tim savas,,
0,0,1,2,11,0,0,6,36,tim savas,,
0,0,1,2,11,2,0,7,60,tim savas,,
0,0,1,2,11,4,0,6,32,tim savas,,
0,0,2,0,0,1,4.12,4,29,tim savas,,
0,0,2,0,0,3,4.12,5,43,tim savas,,
0,0,2,0,0,5,4.12,5,32,tim savas,,
0,0,2,0,1,0,4.12,4,24,tim savas,,
0,0,2,0,1,2,4.12,3,14,tim savas,,
0,0,2,0,1,4,4.12,5.5,37,tim savas,,
0,0,2,0,2,1,4.12,4,26,tim savas,,
0,0,2,0,2,3,4.12,6.5,75,tim savas,,0.31
0,0,2,0,2,5,4.12,6.5,37,tim savas,,
0,0,2,0,3,0,4.12,5.5,40,tim savas,,0.2
0,0,2,0,3,2,4.12,6.5,67,tim savas,,0.38
0,0,2,0,3,4,4.12,5.5,32,tim savas,,
0,0,2,0,4,1,4.12,5,38,tim savas,,
0,0,2,0,4,3,4.12,6.5,49,tim savas,,
0,0,2,0,4,5,4.12,5,27,tim savas,,
0,0,2,0,5,0,4.12,5,48,tim savas,,
0,0,2,0,5,2,4.12,4,26,tim savas,,
0,0,2,0,5,4,4.12,4,37,tim savas,,
0,0,2,0,6,1,4.12,3.5,26,tim savas,,
0,0,2,0,6,3,4.12,4,21,tim savas,,
0,0,2,0,6,5,4.12,5.5,39,tim savas,,
0,0,2,0,7,0,4.12,7.5,63,tim savas,,0.24
0,0,2,0,7,2,4.12,7.78,108,tim savas,,0.35
0,0,2,0,7,4,4.12,4,21,tim savas,,
0,0,2,0,8,1,4.12,3,15,tim savas,,
0,0,2,0,8,3,4.12,4.5,34,tim savas,,
0,0,2,0,9,0,4.12,3,28,tim savas,,
0,0,2,0,9,2,4.12,3,20,tim savas,,
0,0,2,0,9,4,4.12,3,22,tim savas,,
0,0,2,0,10,1,4.12,2.5,18,tim savas,,
0,0,2,0,10,3,4.12,3,23,tim savas,,
0,0,2,0,10,5,4.12,5,36,tim savas,,
0,0,2,0,11,0,4.12,4,22,tim savas,,
0,0,2,0,11,2,4.12,3.5,21,tim savas,,
0,0,2,0,11,4,4.12,3,25,tim savas,,
0,0,2,1,0,1,14.06,5.5,45,tim savas,,
0,0,2,1,0,3,14.06,5,30,tim savas,,
0,0,2,1,0,5,14.06,4,23,tim savas,,
0,0,2,1,1,0,14.06,4.5,15,tim savas,,
0,0,2,1,1,2,14.06,5,42,tim savas,,
0,0,2,1,1,4,14.06,7,50,tim savas,,
0,0,2,1,2,1,14.06,5,38,tim savas,,
0,0,2,1,2,3,14.06,6,36,tim savas,,
0,0,2,1,2,5,14.06,7.5,35,tim savas,,
0,0,2,1,3,0,14.06,4.5,33,tim savas,,
0,0,2,1,3,2,14.06,6,43,tim savas,,
0,0,2,1,3,4,14.06,7.5,53,tim savas,,
0,0,2,1,4,1,14.06,8.5,90,tim savas,,0.34
0,0,2,1,4,3,14.06,7.2,66,tim savas,,0.32
0,0,2,1,4,5,14.06,6,52,tim savas,,
0,0,2,1,5,0,14.06,6,89,tim savas,,0.26
0,0,2,1,5,2,14.06,6.5,42,tim savas,,
0,0,2,1,5,4,14.06,6.5,48,tim savas,,
0,0,2,1,6,1,14.06,5,33,tim savas,,
0,0,2,1,6,3,14.06,8.5,86,tim savas,,0.33
0,0,2,1,6,5,14.06,10.25,72,tim savas,,0.34
0,0,2,1,7,0,14.06,8,110,tim savas,,0.4
0,0,2,1,7,2,14.06,3,27,tim savas,,
0,0,2,1,7,4,14.06,4.5,43,tim savas,,
0,0,2,1,8,1,14.06,4,27,tim savas,,
0,0,2,1,8,3,14.06,5.5,44,tim savas,,
0,0,2,1,8,5,14.06,7,35,tim savas,,
0,0,2,1,9,0,14.06,5,32,tim savas,,
0,0,2,1,9,2,14.06,5.5,45,tim savas,,
0,0,2,1,9,4,14.06,5.5,24,tim savas,,
0,0,2,1,10,1,14.06,3,19,tim savas,,
0,0,2,1,10,3,14.06,6.5,40,tim savas,,
0,0,2,1,10,5,14.06,5,35,tim savas,,
0,0,2,1,11,0,14.06,6,47,tim savas,,0.29
0,0,2,1,11,4,14.06,6,61,tim savas,,0.29
0,0,2,2,0,1,0,6.5,26,tim savas,,
0,0,2,2,0,3,0,5.5,36,tim savas,,
0,0,2,2,0,5,0,5,35,tim savas,,
0,0,2,2,1,0,0,4.5,26,tim savas,,
0,0,2,2,1,2,0,6.5,60,tim savas,,
0,0,2,2,1,4,0,5.5,33,tim savas,,
0,0,2,2,2,1,0,6,39,tim savas,,
0,0,2,2,2,3,0,4.5,31,tim savas,,
0,0,2,2,2,5,0,6.5,68,tim savas,,0.24
0,0,2,2,3,0,0,7.5,77,tim savas,,0.27
0,0,2,2,3,2,0,6,89,tim savas,,0.42
0,0,2,2,3,4,0,6,80,tim savas,,0.39
0,0,2,2,4,1,0,7.5,50,tim savas,,
0,0,2,2,4,3,0,6.5,48,tim savas,,
0,0,2,2,4,5,0,5.5,32,tim savas,,
0,0,2,2,5,0,0,6,30,tim savas,,
0,0,2,2,5,2,0,7,49,tim savas,,
0,0,2,2,5,4,0,8,57,tim savas,,
0,0,2,2,6,1,0,6,56,tim savas,,
0,0,2,2,6,3,0,5,43,tim savas,,
0,0,2,2,7,0,0,5,28,tim savas,,
0,0,2,2,7,2,0,6.5,36,tim savas,,
0,0,2,2,7,4,0,4.5,31,tim savas,,
0,0,2,2,8,1,0,7.2,83,tim savas,,0.63
0,0,2,2,8,3,0,8,108,tim savas,,0.34
0,0,2,2,8,5,0,4.5,31,tim savas,,
0,0,2,2,9,1,0,5,32,tim savas,,
0,0,2,2,9,3,0,7,62,tim savas,,
0,0,2,2,9,5,0,8,78,tim savas,,
0,0,2,2,10,1,0,4,37,tim savas,,
0,0,2,2,10,3,0,4.5,33,tim savas,,
0,0,2,2,10,5,0,7,25,tim savas,,
0,0,2,2,11,0,0,4.5,29,tim savas,,
0,0,2,2,11,2,0,4.5,23,tim savas,,
0,0,2,2,11,4,0,4.5,37,tim savas,,
